Neighborhood,District
Baró de Viver,Sant Andreu
Can Baró,Horta-Guinardó
Can Peguera,Nou Barris
Canyelles,Nou Barris
Ciutat Meridiana,Nou Barris
Diagonal Mar i el Front Marítim del Poblenou,Sant Martí
el Baix Guinardó,Horta-Guinardó
el Barri Gòtic,Ciutat Vella
el Besòs i el Maresme,Sant Martí
el Bon Pastor,Sant Andreu
el Camp d'en Grassot i Gràcia Nova,Gràcia
el Camp de l'Arpa del Clot,Sant Martí
el Carmel,Horta-Guinardó
el Clot,Sant Martí
el Coll,Gràcia
el Congrés i els Indians,Sant Andreu
el Fort Pienc,Eixample
el Guinardó,Horta-Guinardó
el Parc i la Llacuna del Poblenou,Sant Martí
el Poble-sec,Sants-Montjuïc
el Poblenou,Sant Martí
el Putxet i el Farró,Sarrià-Sant Gervasi
el Raval,Ciutat Vella
el Turó de la Peira,Nou Barris
Horta,Horta-Guinardó
Hostafrancs,Sants-Montjuïc
l'Antiga Esquerra de l'Eixample,Eixample
la Barceloneta,Ciutat Vella
la Bordeta,Sants-Montjuïc
la Clota,Horta-Guinardó
la Dreta de l'Eixample,Eixample
la Font d'en Fargues,Horta-Guinardó
la Font de la Guatlla,Sants-Montjuïc
la Guineueta,Nou Barris
la Marina de Port,Sants-Montjuïc
la Marina del Prat Vermell,Sants-Montjuïc
la Maternitat i Sant Ramon,Les Corts
la Nova Esquerra de l'Eixample,Eixample
la Prosperitat,Nou Barris
la Sagrada Família,Eixample
la Sagrera,Sant Andreu
la Salut,Gràcia
la Teixonera,Horta-Guinardó
la Trinitat Nova,Nou Barris
la Trinitat Vella,Sant Andreu
la Vall d'Hebron,Horta-Guinardó
la Verneda i la Pau,Sant Martí
la Vila de Gràcia,Gràcia
la Vila Olímpica del Poblenou,Sant Martí
les Corts,Les Corts
les Roquetes,Nou Barris
les Tres Torres,Sarrià-Sant Gervasi
Montbau,Horta-Guinardó
Navas,Sant Andreu
Pedralbes,Les Corts
Porta,Nou Barris
Provençals del Poblenou,Sant Martí
Sant Andreu,Sant Andreu
Sant Antoni,Eixample
Sant Genís dels Agudells,Horta-Guinardó
Sant Gervasi - Galvany,Sarrià-Sant Gervasi
Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi
Sant Martí de Provençals,Sant Martí
"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella
Sants,Sants-Montjuïc
Sants - Badal,Sants-Montjuïc
Sarrià,Sarrià-Sant Gervasi
Torre Baró,Nou Barris
Vallbona,Nou Barris
Vallcarca i els Penitents,Gràcia
"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi
Verdun,Nou Barris
Vilapicina i la Torre Llobeta,Nou Barris
